date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,soil_moisture_pct,evaporation_mm,previous_flow_m3s,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,flow_lag_1,flow_lag_2,flow_lag_3,runoff_m3s
2010-01-25,0.0,26.32,56.04,1021.89,13.17,8.0,9.77,37.19,0.0,0.0,0.0,37.19,47.28,48.6,32.99
2010-01-26,0.0,27.88,59.2,1019.46,10.98,8.0,7.36,32.99,0.0,0.0,0.0,32.99,37.19,47.28,26.0
2010-01-27,0.0,24.66,66.01,1011.31,11.02,8.0,9.32,26.0,0.0,0.0,0.0,26.0,32.99,37.19,27.69
2010-01-28,29.88,28.4,48.1,1029.14,8.73,8.0,8.79,27.69,0.0,0.0,0.0,27.69,26.0,32.99,45.48
2010-01-29,25.84,25.88,45.01,1009.83,9.19,8.0,9.79,45.48,29.88,0.0,0.0,45.48,27.69,26.0,56.76
2010-01-30,0.0,26.58,54.8,1021.54,6.64,8.0,5.62,56.76,25.84,29.88,0.0,56.76,45.48,27.69,60.21
2010-01-31,36.04,25.72,47.6,1018.89,12.96,8.0,8.65,60.21,0.0,25.84,29.88,60.21,56.76,45.48,70.07
2010-02-01,34.56,31.78,56.21,1010.8,3.9,8.0,7.78,70.07,36.04,0.0,25.84,70.07,60.21,56.76,83.13
2010-02-02,0.0,27.03,62.84,1015.99,13.4,8.0,8.17,83.13,34.56,36.04,0.0,83.13,70.07,60.21,82.12
2010-02-03,0.0,24.33,53.23,1016.16,5.09,8.0,7.97,82.12,0.0,34.56,36.04,82.12,83.13,70.07,77.5
2010-02-04,0.0,28.95,49.62,1023.02,13.37,8.0,8.69,77.5,0.0,0.0,34.56,77.5,82.12,83.13,69.21
2010-02-05,0.0,23.75,60.25,1012.87,8.76,8.0,8.78,69.21,0.0,0.0,0.0,69.21,77.5,82.12,61.95
2010-02-06,27.25,27.24,65.95,1015.06,5.69,8.0,6.78,61.95,0.0,0.0,0.0,61.95,69.21,77.5,68.35
2010-02-07,0.0,21.73,48.2,1004.63,12.03,8.0,6.42,68.35,27.25,0.0,0.0,68.35,61.95,69.21,64.33
2010-02-08,0.0,23.22,65.96,1024.92,13.25,8.0,7.61,64.33,0.0,27.25,0.0,64.33,68.35,61.95,69.29
2010-02-09,0.0,26.94,66.1,1010.82,8.47,8.0,8.36,69.29,0.0,0.0,27.25,69.29,64.33,68.35,58.5
2010-02-10,21.52,28.2,67.22,1017.74,12.52,8.0,9.45,58.5,0.0,0.0,0.0,58.5,69.29,64.33,57.88
2010-02-11,0.0,26.69,69.23,1015.53,2.0,8.0,6.12,57.88,21.52,0.0,0.0,57.88,58.5,69.29,46.26
2010-02-12,24.71,25.87,76.28,1015.48,5.38,8.0,7.69,46.26,0.0,21.52,0.0,46.26,57.88,58.5,56.24
2010-02-13,0.0,25.31,58.54,1019.95,14.52,8.0,8.95,56.24,24.71,0.0,21.52,56.24,46.26,57.88,44.39
2010-02-14,0.0,22.27,61.97,1024.19,9.22,8.0,7.69,44.39,0.0,24.71,0.0,44.39,56.24,46.26,40.83
2010-02-15,0.0,24.07,58.46,1017.02,3.48,8.0,8.28,40.83,0.0,0.0,24.71,40.83,44.39,56.24,33.3
2010-02-16,16.39,24.61,61.56,1018.96,7.55,8.0,7.3,33.3,0.0,0.0,0.0,33.3,40.83,44.39,31.15
2010-02-17,0.0,28.3,72.45,1017.26,6.77,8.0,7.02,31.15,16.39,0.0,0.0,31.15,33.3,40.83,30.58
2010-02-18,0.0,26.42,52.48,1020.63,9.42,8.0,8.12,30.58,0.0,16.39,0.0,30.58,31.15,33.3,34.92
2010-02-19,0.0,21.05,56.05,1013.15,8.7,8.0,7.21,34.92,0.0,0.0,16.39,34.92,30.58,31.15,33.29
2010-02-20,0.0,26.16,71.9,1020.77,10.63,8.0,8.84,33.29,0.0,0.0,0.0,33.29,34.92,30.58,26.51
2010-02-21,0.0,24.28,69.58,1020.87,9.76,8.0,7.79,26.51,0.0,0.0,0.0,26.51,33.29,34.92,30.29
2010-02-22,0.0,23.44,60.08,1020.65,14.76,8.0,8.69,30.29,0.0,0.0,0.0,30.29,26.51,33.29,24.09
2010-02-23,0.0,26.56,68.79,1011.86,11.49,8.0,8.07,24.09,0.0,0.0,0.0,24.09,30.29,26.51,24.87
2010-02-24,0.0,27.5,65.39,1014.24,11.6,8.0,6.61,24.87,0.0,0.0,0.0,24.87,24.09,30.29,15.56
2010-02-25,0.0,27.14,73.69,1016.2,14.08,8.0,8.87,15.56,0.0,0.0,0.0,15.56,24.87,24.09,12.66
2010-02-26,0.0,22.6,63.9,1008.07,8.64,8.0,8.41,12.66,0.0,0.0,0.0,12.66,15.56,24.87,6.98
2010-02-27,0.0,23.81,70.75,1022.82,5.58,8.0,7.57,6.98,0.0,0.0,0.0,6.98,12.66,15.56,13.42
2010-02-28,0.0,25.3,82.25,1014.71,14.22,8.0,7.29,13.42,0.0,0.0,0.0,13.42,6.98,12.66,9.35
2010-03-01,9.56,26.8,68.14,1016.11,10.48,8.0,7.91,9.35,0.0,0.0,0.0,9.35,13.42,6.98,8.49
2010-03-02,67.36,23.05,64.49,1011.72,10.49,8.0,7.59,8.49,9.56,0.0,0.0,8.49,9.35,13.42,39.31
2010-03-03,0.0,23.67,69.4,1007.89,7.78,8.0,7.87,39.31,67.36,9.56,0.0,39.31,8.49,9.35,48.34
2010-03-04,0.0,21.25,61.98,1011.42,7.84,8.0,7.32,48.34,0.0,67.36,9.56,48.34,39.31,8.49,58.13
2010-03-05,0.0,20.91,81.45,1015.45,12.96,8.0,5.43,58.13,0.0,0.0,67.36,58.13,48.34,39.31,52.24
2010-03-06,14.88,25.82,66.2,1017.64,13.45,8.0,7.7,52.24,0.0,0.0,0.0,52.24,58.13,48.34,52.37
2010-03-07,31.44,27.06,63.23,1015.0,12.74,8.0,8.28,52.37,14.88,0.0,0.0,52.37,52.24,58.13,64.58
2010-03-08,0.0,23.37,59.49,1015.84,12.78,8.0,7.67,64.58,31.44,14.88,0.0,64.58,52.37,52.24,64.13
2010-03-09,0.0,25.94,73.22,1012.34,11.99,8.0,8.12,64.13,0.0,31.44,14.88,64.13,64.58,52.37,60.94
2010-03-10,0.0,24.22,71.81,1016.42,10.46,8.0,7.49,60.94,0.0,0.0,31.44,60.94,64.13,64.58,50.7
2010-03-11,0.0,21.59,62.46,1021.27,9.39,8.0,7.28,50.7,0.0,0.0,0.0,50.7,60.94,64.13,42.44
2010-03-12,0.0,23.98,70.18,1017.29,14.24,8.0,9.05,42.44,0.0,0.0,0.0,42.44,50.7,60.94,34.15
2010-03-13,21.72,26.81,55.79,1017.73,8.69,8.0,8.9,34.15,0.0,0.0,0.0,34.15,42.44,50.7,40.36
2010-03-14,0.0,22.75,67.85,1015.07,11.29,8.0,7.73,40.36,21.72,0.0,0.0,40.36,34.15,42.44,37.53
2010-03-15,0.0,26.63,69.93,1006.0,7.19,8.0,8.13,37.53,0.0,21.72,0.0,37.53,40.36,34.15,38.2
2010-03-16,0.0,16.05,78.92,1008.21,7.69,8.0,6.86,38.2,0.0,0.0,21.72,38.2,37.53,40.36,30.59
2010-03-17,0.0,24.54,61.78,1015.62,9.17,8.0,8.86,30.59,0.0,0.0,0.0,30.59,38.2,37.53,23.53
2010-03-18,15.68,22.58,58.43,1013.2,7.19,8.0,7.81,23.53,0.0,0.0,0.0,23.53,30.59,38.2,28.13
2010-03-19,0.0,21.49,61.32,1015.37,12.79,8.0,9.63,28.13,15.68,0.0,0.0,28.13,23.53,30.59,28.38
2010-03-20,0.0,22.35,58.44,1021.47,5.28,8.0,7.52,28.38,0.0,15.68,0.0,28.38,28.13,23.53,29.85
2010-03-21,9.98,17.03,77.36,1016.63,10.35,8.0,5.74,29.85,0.0,0.0,15.68,29.85,28.38,28.13,26.32
2010-03-22,0.0,21.33,79.05,1019.21,10.46,8.0,8.6,26.32,9.98,0.0,0.0,26.32,29.85,28.38,19.78
2010-03-23,0.0,22.65,70.65,1013.3,3.66,8.0,7.42,19.78,0.0,9.98,0.0,19.78,26.32,29.85,22.86
2010-03-24,0.0,25.33,77.17,1008.71,8.46,8.0,8.39,22.86,0.0,0.0,9.98,22.86,19.78,26.32,15.34
2010-03-25,0.0,20.22,69.76,1012.37,10.89,8.0,6.46,15.34,0.0,0.0,0.0,15.34,22.86,19.78,16.4
2010-03-26,0.0,19.38,68.37,1008.55,11.5,8.0,8.39,16.4,0.0,0.0,0.0,16.4,15.34,22.86,6.2
2010-03-27,0.0,20.02,66.91,1020.28,9.28,8.0,8.05,6.2,0.0,0.0,0.0,6.2,16.4,15.34,7.45
2010-03-28,28.42,23.45,67.27,1016.35,12.37,8.0,6.98,7.45,0.0,0.0,0.0,7.45,6.2,16.4,18.45
2010-03-29,18.31,21.86,58.81,1014.92,9.62,8.0,8.12,18.45,28.42,0.0,0.0,18.45,7.45,6.2,31.03
2010-03-30,6.18,19.6,71.7,1018.41,10.05,8.0,7.54,31.03,18.31,28.42,0.0,31.03,18.45,7.45,39.66
2010-03-31,0.0,22.08,69.77,1002.04,10.88,8.0,7.72,39.66,6.18,18.31,28.42,39.66,31.03,18.45,41.65
2010-04-01,0.0,20.93,75.47,1015.0,13.24,8.0,7.84,41.65,0.0,6.18,18.31,41.65,39.66,31.03,39.02
2010-04-02,0.0,22.99,71.11,1005.42,7.63,8.0,5.79,39.02,0.0,0.0,6.18,39.02,41.65,39.66,37.26
2010-04-03,0.0,,69.52,1011.85,8.3,8.0,6.9,37.26,0.0,0.0,0.0,37.26,39.02,41.65,36.72
2010-04-04,0.0,19.51,64.76,1010.25,7.66,8.0,7.59,36.72,0.0,0.0,0.0,36.72,37.26,39.02,36.77
2010-04-05,0.0,19.23,71.57,1015.03,8.84,8.0,6.42,36.77,0.0,0.0,0.0,36.77,36.72,37.26,34.18
2010-04-06,0.0,16.44,76.43,1012.78,14.99,8.0,7.63,34.18,0.0,0.0,0.0,34.18,36.77,36.72,26.76
2010-04-07,0.0,20.72,63.46,1018.28,12.0,8.0,7.36,26.76,0.0,0.0,0.0,26.76,34.18,36.77,22.67
2010-04-08,0.0,20.52,72.27,1008.47,6.04,8.0,6.46,22.67,0.0,0.0,0.0,22.67,26.76,34.18,19.6
2010-04-09,0.0,19.77,73.48,1014.94,7.9,8.0,5.52,19.6,0.0,0.0,0.0,19.6,22.67,26.76,14.87
2010-04-10,0.0,19.05,67.02,1012.12,11.3,8.0,7.98,14.87,0.0,0.0,0.0,14.87,19.6,22.67,9.07
2010-04-11,24.18,15.99,68.13,1003.06,6.83,8.0,6.46,9.07,0.0,0.0,0.0,9.07,14.87,19.6,21.38
2010-04-12,0.0,18.36,74.05,1006.56,7.46,8.0,6.12,21.38,24.18,0.0,0.0,21.38,9.07,14.87,24.7
2010-04-13,0.0,18.45,64.69,1010.32,14.71,8.0,8.87,24.7,0.0,24.18,0.0,24.7,21.38,9.07,22.29
2010-04-14,18.97,17.19,75.26,1016.56,7.85,8.0,7.38,22.29,0.0,0.0,24.18,22.29,24.7,21.38,27.72
2010-04-15,2.91,18.68,66.74,1013.23,13.34,8.0,7.67,27.72,18.97,0.0,0.0,27.72,22.29,24.7,30.46
2010-04-16,10.17,19.98,80.63,1005.0,14.39,8.0,8.95,30.46,2.91,18.97,0.0,30.46,27.72,22.29,29.9
2010-04-17,0.0,23.58,89.74,1010.06,7.43,8.0,8.53,29.9,10.17,2.91,18.97,29.9,30.46,27.72,25.9
2010-04-18,0.0,19.19,67.53,1020.77,6.89,8.0,6.05,25.9,0.0,10.17,2.91,25.9,29.9,30.46,22.92
2010-04-19,46.83,19.29,77.48,1011.16,9.03,8.0,6.2,22.92,0.0,0.0,10.17,22.92,25.9,29.9,39.29
2010-04-20,0.0,18.36,68.83,1008.9,6.19,8.0,4.82,39.29,46.83,0.0,0.0,39.29,22.92,25.9,38.36
2010-04-21,4.72,13.64,81.39,1012.92,10.42,8.0,6.09,38.36,0.0,46.83,0.0,38.36,39.29,22.92,43.97
2010-04-22,7.38,18.27,65.42,1014.2,9.28,8.0,6.76,43.97,4.72,0.0,46.83,43.97,38.36,39.29,42.85
2010-04-23,0.0,18.39,77.82,1008.03,11.26,8.0,6.02,42.85,7.38,4.72,0.0,42.85,43.97,38.36,38.88
2010-04-24,0.0,24.29,68.51,1012.75,14.89,8.0,7.89,38.88,0.0,7.38,4.72,38.88,42.85,43.97,32.6
2010-04-25,0.0,17.55,73.35,1008.52,12.86,8.0,8.09,32.6,0.0,0.0,7.38,32.6,38.88,42.85,25.14
2010-04-26,0.0,18.69,67.75,1013.69,11.71,8.0,7.69,25.14,0.0,0.0,0.0,25.14,32.6,38.88,22.18
2010-04-27,61.22,17.75,80.89,1010.88,3.12,8.0,5.41,22.18,0.0,0.0,0.0,22.18,25.14,32.6,45.78
2010-04-28,51.13,14.82,69.44,1012.37,11.55,8.0,8.01,45.78,61.22,0.0,0.0,45.78,22.18,25.14,80.9
2010-04-29,25.89,20.51,79.32,1006.1,16.03,8.0,7.19,80.9,51.13,61.22,0.0,80.9,45.78,22.18,106.84
2010-04-30,0.0,19.43,73.21,1005.72,0.5,8.0,6.25,106.84,25.89,51.13,61.22,106.84,80.9,45.78,103.47
2010-05-01,0.0,19.44,74.98,1014.49,12.41,8.0,7.44,103.47,0.0,25.89,51.13,103.47,106.84,80.9,90.8
2010-05-02,0.0,15.1,76.97,1009.3,9.44,8.0,6.77,90.8,0.0,0.0,25.89,90.8,103.47,106.84,75.48
2010-05-03,0.0,20.79,70.76,1011.05,7.03,8.0,7.23,75.48,0.0,0.0,0.0,75.48,90.8,103.47,66.73
2010-05-04,0.0,13.69,77.71,1008.03,12.8,8.0,8.0,66.73,0.0,0.0,0.0,66.73,75.48,90.8,54.35
2010-05-05,2.86,18.57,87.1,1014.0,15.98,8.0,8.57,54.35,0.0,0.0,0.0,54.35,66.73,75.48,44.2
2010-05-06,0.0,22.5,71.09,1006.4,12.71,8.0,8.9,44.2,2.86,0.0,0.0,44.2,54.35,66.73,36.9
2010-05-07,0.0,14.46,84.88,1008.71,8.7,8.0,5.66,36.9,0.0,2.86,0.0,36.9,44.2,54.35,30.68
2010-05-08,9.7,15.44,87.31,1013.25,6.7,8.0,6.04,30.68,0.0,0.0,2.86,30.68,36.9,44.2,28.48
2010-05-09,0.0,17.02,71.25,1015.13,10.51,8.0,6.34,28.48,9.7,0.0,0.0,28.48,30.68,36.9,21.34
2010-05-10,0.0,15.44,66.91,1006.59,13.06,8.0,6.28,21.34,0.0,9.7,0.0,21.34,28.48,30.68,19.63
2010-05-11,13.55,12.74,79.34,1018.95,8.65,8.0,7.02,19.63,0.0,0.0,9.7,19.63,21.34,28.48,22.58
2010-05-12,0.0,16.71,73.53,1010.67,8.98,8.0,5.25,22.58,13.55,0.0,0.0,22.58,19.63,21.34,27.26
2010-05-13,0.0,13.81,90.57,1003.83,19.88,8.0,7.58,27.26,0.0,13.55,0.0,27.26,22.58,19.63,21.27
2010-05-14,3.84,17.58,77.86,1010.84,13.78,,7.17,21.27,0.0,0.0,13.55,21.27,27.26,22.58,22.17
2010-05-15,27.49,14.02,72.12,1007.03,14.03,8.0,7.12,22.17,3.84,0.0,0.0,22.17,21.27,27.26,38.07
2010-05-16,0.0,20.13,69.82,1011.06,4.89,8.0,5.68,38.07,27.49,3.84,0.0,38.07,22.17,21.27,34.36
2010-05-17,0.0,14.23,85.6,1008.63,7.52,8.0,5.68,34.36,0.0,27.49,3.84,34.36,38.07,22.17,29.72
2010-05-18,5.46,15.31,74.08,1009.17,10.26,8.0,8.35,29.72,0.0,0.0,27.49,29.72,34.36,38.07,24.04
2010-05-19,0.0,18.09,78.5,1004.19,6.5,8.0,6.36,24.04,5.46,0.0,0.0,24.04,29.72,34.36,23.81
2010-05-20,0.0,12.91,84.99,1013.66,15.6,8.0,6.63,23.81,0.0,5.46,0.0,23.81,24.04,29.72,23.04
2010-05-21,0.0,16.5,75.02,1002.88,14.94,8.0,7.87,23.04,0.0,0.0,5.46,23.04,23.81,24.04,23.61
2010-05-22,12.94,19.14,78.18,1003.08,8.13,8.0,6.99,23.61,0.0,0.0,0.0,23.61,23.04,23.81,26.49
2010-05-23,0.0,11.8,78.49,1010.42,16.24,8.0,8.88,26.49,12.94,0.0,0.0,26.49,23.61,23.04,32.2
2010-05-24,0.0,16.22,83.48,1016.56,9.99,8.0,6.65,32.2,0.0,12.94,0.0,32.2,26.49,23.61,31.78
2010-05-25,11.85,16.35,82.93,1006.74,19.06,8.0,8.63,31.78,0.0,0.0,12.94,31.78,32.2,26.49,37.35
2010-05-26,0.0,17.61,77.34,1011.97,10.51,8.0,6.17,37.35,11.85,0.0,0.0,37.35,31.78,32.2,35.78
2010-05-27,7.8,12.51,79.41,1013.8,12.02,8.0,6.21,35.78,0.0,11.85,0.0,35.78,37.35,31.78,34.83
2010-05-28,0.0,12.25,76.45,1012.47,14.9,8.0,6.7,34.83,7.8,0.0,11.85,34.83,35.78,37.35,31.59
2010-05-29,0.0,16.81,68.78,1006.81,14.47,8.0,6.49,31.59,0.0,7.8,0.0,31.59,34.83,35.78,33.54
2010-05-30,0.0,16.21,81.01,1002.88,11.79,8.0,7.18,33.54,0.0,0.0,7.8,33.54,31.59,34.83,32.3
2010-05-31,0.0,,92.52,997.26,9.51,8.0,6.93,32.3,0.0,0.0,0.0,32.3,33.54,31.59,30.99
2010-06-01,0.0,16.25,73.16,1006.96,11.8,8.0,7.29,30.99,0.0,0.0,0.0,30.99,32.3,33.54,30.74
2010-06-02,3.19,13.64,74.0,1014.14,7.14,8.0,4.91,30.74,0.0,0.0,0.0,30.74,30.99,32.3,29.32
2010-06-03,0.0,15.89,73.38,1002.6,10.53,8.0,6.19,29.32,3.19,0.0,0.0,29.32,30.74,30.99,36.29
2010-06-04,0.0,16.01,84.6,1011.7,6.12,8.0,5.94,36.29,0.0,3.19,0.0,36.29,29.32,30.74,31.53
2010-06-05,0.0,13.46,82.73,1003.42,3.77,8.0,4.7,31.53,0.0,0.0,3.19,31.53,36.29,29.32,28.13
2010-06-06,16.87,19.88,78.53,1008.68,10.18,8.0,5.69,28.13,0.0,0.0,0.0,28.13,31.53,36.29,30.27
2010-06-07,0.0,16.37,73.26,1011.67,14.42,8.0,8.36,30.27,16.87,0.0,0.0,30.27,28.13,31.53,31.76
2010-06-08,0.0,12.18,80.38,1004.81,13.24,8.0,8.13,31.76,0.0,16.87,0.0,31.76,30.27,28.13,23.81
2010-06-09,13.83,16.77,68.82,1008.95,9.71,8.0,7.87,23.81,0.0,0.0,16.87,23.81,31.76,30.27,16.41
2010-06-10,0.0,12.67,80.82,1006.0,16.11,8.0,7.64,16.41,13.83,0.0,0.0,16.41,23.81,31.76,14.94
2010-06-11,0.0,17.06,85.95,1011.59,8.01,8.0,6.17,14.94,0.0,13.83,0.0,14.94,16.41,23.81,16.85
2010-06-12,27.83,17.97,71.12,1009.23,3.29,8.0,7.85,16.85,0.0,0.0,13.83,16.85,14.94,16.41,30.11
2010-06-13,0.0,13.0,69.18,1008.32,2.36,8.0,6.3,30.11,27.83,0.0,0.0,30.11,16.85,14.94,27.65
2010-06-14,0.0,17.45,90.99,1015.82,5.87,8.0,5.69,27.65,0.0,27.83,0.0,27.65,30.11,16.85,21.84
2010-06-15,10.22,16.06,75.67,1011.33,12.86,8.0,8.52,21.84,0.0,0.0,27.83,21.84,27.65,30.11,20.98
2010-06-16,0.0,17.07,87.92,1004.56,7.78,8.0,6.74,20.98,10.22,0.0,0.0,20.98,21.84,27.65,17.92
2010-06-17,0.0,19.75,78.9,1007.58,11.61,8.0,8.58,17.92,0.0,10.22,0.0,17.92,20.98,21.84,17.75
2010-06-18,0.0,14.39,78.86,1007.62,15.76,8.0,8.83,17.75,0.0,0.0,10.22,17.75,17.92,20.98,16.06
2010-06-19,0.0,13.12,83.07,1008.4,6.15,8.0,5.42,16.06,0.0,0.0,0.0,16.06,17.75,17.92,19.27
2010-06-20,0.0,12.78,73.81,1020.62,11.67,8.0,6.68,19.27,0.0,0.0,0.0,19.27,16.06,17.75,15.51
2010-06-21,19.11,12.96,80.93,1009.85,11.89,8.0,7.0,15.51,0.0,0.0,0.0,15.51,19.27,16.06,17.02
2010-06-22,0.0,14.81,77.32,997.82,6.99,8.0,6.36,17.02,19.11,0.0,0.0,17.02,15.51,19.27,19.86
2010-06-23,0.0,15.86,70.74,1005.29,14.74,8.0,6.78,19.86,0.0,19.11,0.0,19.86,17.02,15.51,16.39
2010-06-24,32.92,15.71,82.34,998.35,8.99,8.0,6.75,16.39,0.0,0.0,19.11,16.39,19.86,17.02,24.93
2010-06-25,117.54,17.09,78.12,1006.37,8.66,8.0,6.55,24.93,32.92,0.0,0.0,24.93,16.39,19.86,83.83
2010-06-26,0.0,15.07,78.84,998.09,17.39,8.0,7.65,83.83,117.54,32.92,0.0,83.83,24.93,16.39,104.49
2010-06-27,0.0,18.68,71.45,1003.68,11.83,8.0,6.21,104.49,0.0,117.54,32.92,104.49,83.83,24.93,104.56
2010-06-28,0.0,14.4,91.04,1000.44,13.24,8.0,6.93,104.56,0.0,0.0,117.54,104.56,104.49,83.83,98.39
2010-06-29,0.0,21.88,86.0,1009.98,14.74,8.0,9.9,98.39,0.0,0.0,0.0,98.39,104.56,104.49,89.49
2010-06-30,0.0,16.66,86.58,1008.07,7.72,8.0,6.92,89.49,0.0,0.0,0.0,89.49,98.39,104.56,80.11
2010-07-01,0.0,12.98,77.66,1009.6,14.37,8.0,6.94,80.11,0.0,0.0,0.0,80.11,89.49,98.39,68.12
2010-07-02,0.0,12.46,67.65,1007.58,8.24,8.0,6.7,68.12,0.0,0.0,0.0,68.12,80.11,89.49,52.74
2010-07-03,0.0,16.37,93.39,1001.15,8.09,8.0,7.68,52.74,0.0,0.0,0.0,52.74,68.12,80.11,43.42
2010-07-04,0.0,14.63,79.24,1010.71,9.05,8.0,6.0,43.42,0.0,0.0,0.0,43.42,52.74,68.12,36.49
2010-07-05,0.0,17.01,74.38,1017.77,7.82,8.0,8.02,36.49,0.0,0.0,0.0,36.49,43.42,52.74,27.92
2010-07-06,0.0,16.44,82.48,1010.23,12.88,8.0,6.47,27.92,0.0,0.0,0.0,27.92,36.49,43.42,25.01
2010-07-07,0.0,15.1,87.68,1006.07,10.94,8.0,6.55,25.01,0.0,0.0,0.0,25.01,27.92,36.49,14.87
2010-07-08,9.15,13.2,79.29,1001.09,8.28,8.0,5.92,14.87,0.0,0.0,0.0,14.87,25.01,27.92,21.59
2010-07-09,77.75,11.57,88.34,1003.72,12.36,8.0,7.66,21.59,9.15,0.0,0.0,21.59,14.87,25.01,51.88
2010-07-10,7.26,14.28,86.9,1010.55,9.04,8.0,5.61,51.88,77.75,9.15,0.0,51.88,21.59,14.87,67.94
2010-07-11,0.0,17.58,71.71,1013.68,8.85,8.0,7.75,67.94,7.26,77.75,9.15,67.94,51.88,21.59,73.12
2010-07-12,0.0,16.02,74.46,1009.65,10.17,8.0,6.77,73.12,0.0,7.26,77.75,73.12,67.94,51.88,60.9
2010-07-13,0.0,12.41,85.8,1012.38,11.62,8.0,6.79,60.9,0.0,0.0,7.26,60.9,73.12,67.94,47.5
2010-07-14,0.0,16.01,60.03,1011.95,11.36,8.0,8.11,47.5,0.0,0.0,0.0,47.5,60.9,73.12,39.56
2010-07-15,0.0,16.59,77.89,1010.98,8.73,8.0,7.13,39.56,0.0,0.0,0.0,39.56,47.5,60.9,36.12
2010-07-16,31.25,13.46,68.83,1005.19,12.96,8.0,8.1,36.12,0.0,0.0,0.0,36.12,39.56,47.5,45.39
2010-07-17,6.3,16.11,75.42,1009.39,9.22,8.0,7.61,45.39,31.25,0.0,0.0,45.39,36.12,39.56,52.92
2010-07-18,0.0,15.92,76.57,1004.31,7.71,8.0,8.62,52.92,6.3,31.25,0.0,52.92,45.39,36.12,52.95
2010-07-19,0.0,12.98,76.06,1008.68,4.86,8.0,6.7,52.95,0.0,6.3,31.25,52.95,52.92,45.39,48.98
2010-07-20,0.0,16.79,74.6,1010.29,13.44,8.0,7.59,48.98,0.0,0.0,6.3,48.98,52.95,52.92,40.27
2010-07-21,0.0,17.35,70.69,1017.07,10.04,8.0,7.11,40.27,0.0,0.0,0.0,40.27,48.98,52.95,34.55
